,episode_rewards
0,-2291117.825813074
1,-2245263.8149096463
2,-2507824.534419841
3,-2450979.1319546252
4,-2557302.382666444
5,-2670936.457148614
6,-2284626.2416023645
7,-2540323.0602521333
8,-2557357.0415175026
9,-2059847.449954998
10,-1654947.0180452985
11,-1659648.7247084465
12,-1569944.1681397357
13,-1641402.2562225366
14,-2099013.62687277
15,-2259871.843901169
16,-2341188.100617638
17,-2289808.2963922154
18,-2643445.2267881
19,-2607153.90682741
20,-2624008.61587973
21,-2630778.8614084027
22,-2553320.921922664
23,-2521512.6038132114
24,-2662062.271941843
25,-2432125.1618808736
26,-2520381.802834013
27,-2176018.439034011
28,-2786088.746610519
29,-2484806.439726046
30,-2432092.821689938
31,-2587392.4326728242
32,-2260630.64882537
33,-2378060.5780475214
34,-2363351.7879820154
35,-1959698.1287806856
36,-1840453.3823673069
37,-1886518.1530415006
38,-1790144.6304293165
39,-1863829.119451175
40,-1782368.2593809017
41,-1791601.0945608255
42,-2023668.1089065806
43,-2142040.7570992205
44,-2393101.4970744634
45,-2314266.7468369263
46,-2291188.1621559523
47,-2421284.8130217292
48,-2306873.6992431725
49,-2367488.9312045504
50,-2353214.5419247663
51,-2389832.3456750647
52,-2466517.570354789
53,-2553599.544331029
54,-2310644.578604821
55,-2347923.160739055
56,-2223271.8702009665
57,-2357083.8312278097
58,-2498772.97556938
59,-2689848.231792191
60,-2509824.6105775256
61,-2414447.490969925
62,-2568596.21788138
63,-2585039.2249900284
64,-2768672.024423348
65,-2170328.769652329
66,-2356008.688001285
67,-2475121.063880749
68,-2259877.5838518585
69,-2485618.7444352866
70,-2335104.4223268195
71,-2298588.5951858736
72,-2268214.0710382205
73,-2482796.468182108
74,-2535112.7748855604
75,-2361686.7106688838
76,-2331021.5813047504
77,-2348820.12768418
78,-2356199.5722877705
79,-2470925.2597652455
80,-2372510.8484638273
81,-2158344.910432924
82,-2441099.632080766
83,-2367767.9264379856
84,-2489052.2586351167
85,-1944404.8676783948
86,-2172130.0625094054
87,-2119003.506789925
88,-2135461.8963534306
89,-2564346.89941148
90,-2375043.5458453735
91,-2401758.659831582
92,-2262820.5563106365
93,-2208013.803893229
94,-2406200.272860839
95,-2398476.7076278627
96,-2294354.7916441704
97,-2454379.342690636
98,-2541905.076257467
99,-2625222.580001968
100,-2558059.629290579
101,-2630749.9173948476
102,-2702324.897280225
103,-2679884.424158495
104,-2412482.32025028
105,-2307823.532201335
106,-2566858.3989865626
107,-2492481.1953380224
108,-2632536.9342751564
109,-2510317.4291779255
110,-2468352.9209635006
111,-2676785.211547055
112,-2378530.791913659
113,-2416961.975586528
114,-2825714.760756916
115,-2557311.6710817125
116,-2118098.900405653
117,-2557527.7657252736
118,-3011683.7146920757
119,-2730784.7980764396
120,-2569093.174801594
121,-2531829.32195182
122,-2544432.1828519534
123,-2752358.277519004
124,-2978540.0230279067
125,-2722810.8516775016
126,-2707604.4928103015
127,-2755497.2428140664
128,-2852138.754877296
129,-2918810.509247673
130,-2570543.9795839353
131,-2679340.4190701917
132,-2586751.881823751
133,-2718636.4449213934
134,-2831788.5854989765
135,-2538726.0052111363
136,-2696765.8870834853
137,-2597857.7380394754
138,-2725388.5376731814
139,-2653038.7647776576
140,-2697966.932546599
141,-2581492.9432038716
142,-2199039.127937698
143,-2591771.334575824
144,-2872096.079841849
145,-2602777.924001406
146,-2648356.2189005483
147,-2603759.5359258023
148,-2624265.2674575164
149,-2675585.9634239916
150,-2453211.9617308467
151,-2413233.5535615617
152,-2542425.3958991705
153,-2818689.3673465597
154,-2998163.526475963
155,-2787266.9210709855
156,-3013763.583289745
157,-3024134.563230396
158,-2662019.2047047983
159,-3090380.307105857
160,-2943661.1957643037
161,-2743821.199442277
162,-2893590.0603159987
163,-2591454.1939435573
164,-2942281.9846808934
165,-2528067.0976653458
166,-2803015.2542475997
167,-2887413.570213733
168,-2528367.5419920506
169,-2782183.3258493966
170,-2417615.6157467235
171,-2373388.128324712
172,-2632070.1421487774
173,-2372925.3054327983
174,-2373087.0218229815
175,-2125627.8770568958
176,-2230697.27068393
177,-2137249.4809425194
178,-2332538.2928040656
179,-2276841.9162862315
180,-2395902.585323219
181,-2309212.620672124
182,-2480141.5382896843
183,-2339320.8807613943
184,-2508589.4917095513
185,-2476725.834764246
186,-2291944.01300559
187,-2561328.0228949413
188,-2704647.0413602553
189,-2741279.648672991
190,-2338474.411267094
191,-2408924.2473403993
192,-2690749.0165843046
193,-2713208.6883841124
194,-2619453.5190795627
195,-2488507.014339806
196,-2541398.591349252
197,-2658116.989884278
198,-2743577.202063902
199,-2910209.4657963384
200,-2660564.5698155123
201,-2460222.6287053134
202,-2781825.446138543
203,-2803071.3895613323
204,-2962993.5808290043
205,-2106532.140233704
206,-2393039.1824292806
207,-2454875.9754336025
208,-2691564.4585429085
209,-2843544.0600819504
210,-2414709.9557039714
211,-2344996.1973928926
212,-2228096.0923067546
213,-2394816.654995514
214,-2496940.8616200616
215,-2435369.4279678785
216,-2526861.025101365
217,-2579640.0506115044
218,-2253143.4231804074
219,-2571168.016120458
220,-2557950.430496406
221,-2659216.4168519787
222,-2593228.0321685392
223,-2842286.8845806187
224,-3027311.7103866753
225,-2714266.72227072
226,-2615263.247245473
227,-2646639.1129186843
228,-2690459.4788077734
229,-2720875.313474177
230,-2318785.1703790836
231,-2443112.648659605
232,-2521352.660328209
233,-2530497.5844353335
234,-2740009.772215696
235,-2192202.019547941
236,-2206552.096736158
237,-2583164.331478404
238,-2579037.1706461105
239,-2484589.0764127704
240,-2249585.016834332
241,-2410833.452590944
242,-2030847.226744091
243,-2318987.0882090307
244,-2290251.1613798137
245,-2349168.871262288
246,-2106074.7200316717
247,-2283053.744517216
248,-2278517.9268393214
249,-2416640.2721777605
250,-2244945.3539057444
251,-2358570.9396732687
252,-2104134.9267449304
253,-2176619.2255784236
254,-2348427.222096102
255,-2305419.234277131
256,-2320932.431315583
257,-2245997.6195469275
258,-2263635.6802790337
259,-2323897.242762595
260,-2063805.0722650615
261,-2206565.067804673
262,-1918740.0371803332
263,-2266850.6148470724
264,-2281212.161243932
265,-2330154.913043976
266,-2491830.7227717633
267,-2406001.283324605
268,-2477482.8328307765
269,-2735243.31586291
270,-2505712.8837873065
271,-2438980.278942138
272,-2485885.297095534
273,-2542928.3174098413
274,-2693285.018323058
275,-2545852.963601831
276,-2547266.1939603924
277,-2472398.0662322147
278,-2537677.686375914
279,-2495817.4458280145
280,-2471310.547137264
281,-2244059.8775351653
282,-2240037.254196577
283,-2237765.613465163
284,-2242812.319094453
285,-2362655.9162580413
286,-2169172.363670068
287,-2430286.1612402676
288,-2423089.2368798014
289,-2443619.655063317
290,-2152623.238763084
291,-2240828.7853028313
292,-2661160.3725657123
293,-2665024.240869234
294,-2756850.600620521
295,-2316674.4575598
296,-2309211.503146423
297,-2540241.430842181
298,-2714587.4417000073
299,-2762486.490629917
300,-2455660.541371837
301,-2634072.9001453887
302,-2545764.65741886
303,-2506097.547533272
304,-2578414.93151834
305,-2261057.010519591
306,-2398972.4662794378
307,-2659551.8184383875
308,-2676353.211782963
309,-2377133.2333460185
310,-2452521.154388216
311,-2521351.933904628
312,-2531711.8374475804
313,-2725186.0269204383
314,-2523295.151646076
315,-2456394.2999456744
316,-2501195.364706533
317,-2556616.6373545956
318,-2512859.6249837494
319,-3014844.4373710537
320,-2974692.61114158
321,-2905169.821152687
322,-2917303.635687699
323,-3019939.592755194
324,-3055626.83600682
325,-2767044.5208869246
326,-2639369.2724597803
327,-2736235.4150419
328,-2902283.7845916003
329,-2948846.2901042313
330,-2610467.1598518565
331,-2700003.784434441
332,-2883711.8769481517
333,-2924455.534463209
334,-2683436.7643222176
335,-2599498.311387323
336,-2628538.9516179506
337,-2830195.5969691346
338,-2862357.0868326584
339,-2813306.969469812
340,-2661483.8993802606
341,-2847902.0524684796
342,-2913589.8362003453
343,-2764447.556223646
344,-2589945.828043821
345,-2577979.5386883547
346,-2419286.5071476265
347,-2463815.157208285
348,-2562304.63885936
349,-2529105.733884724
350,-2512771.1522593987
351,-2658792.819703308
352,-2524387.4125090623
353,-2596928.572285318
354,-2895617.8331923317
355,-2587218.0983839873
356,-2559177.030299444
357,-2823980.3557755277
358,-2782286.083573268
359,-2826289.2959100865
360,-2610469.3262660475
361,-2783504.278980954
362,-2863912.843843731
363,-2727583.7017891835
