,episode_rewards
276,-583045.2130560635
277,-617130.5765133414
278,-656578.0288485267
279,-684529.1910776122
280,-628994.305260757
281,-637181.6592273671
282,-606178.3924922484
283,-625818.9225103997
284,-616564.5138800363
285,-637977.3272551221
286,-628323.3978107042
287,-677346.6637759298
288,-646830.6278347619
289,-672090.2418197009
290,-700142.1247484272
291,-632378.6534676787
292,-614887.1338054613
293,-666157.1736145046
294,-700512.7545651397
295,-601448.7104913711
296,-671806.7461274596
297,-643313.0615352126
298,-616254.2270437016
299,-661510.6611082982
300,-682601.177948589
301,-658956.529707008
302,-659492.5310710784
303,-668420.0438392687
304,-693926.1711030126
305,-639225.4110149175
306,-634301.4595282662
307,-636386.2533588292
308,-551192.7721572707
309,-617161.432999673
310,-651858.171425059
311,-584119.7858382579
312,-583438.4364763392
313,-614382.560951248
314,-618980.0632072301
315,-654120.6552092273
316,-681602.1894119864
317,-703508.1785371763
318,-695399.3489384723
319,-714567.824981139
320,-645842.1755838149
321,-638104.9515820935
322,-633573.9857725928
323,-659239.2078362951
324,-681488.6770615029
325,-627897.9553200073
326,-605324.2703572424
327,-576473.6008744983
328,-586371.2453453427
329,-614010.9222631073
330,-581712.526261398
331,-618048.212800841
332,-558274.5523122982
333,-607691.212224974
334,-675872.7670631955
335,-657428.7068957313
336,-654800.7165702049
337,-664032.7328223918
338,-622232.7632501043
339,-643348.1585279905
340,-630800.1737008981
341,-675279.1535143476
342,-659738.4411396745
343,-680938.4760895265
344,-658169.9953983438
345,-619690.1423807428
346,-619645.8809761361
347,-592014.0798338517
348,-630129.3067628704
349,-682824.4100561634
350,-598817.9617854413
351,-590930.4378258686
352,-523399.8149735516
353,-574821.4476466427
354,-627950.1673187803
355,-602157.3014633415
356,-628353.5974889424
357,-651722.314998275
358,-630260.8332884414
359,-692309.3237331522
360,-658545.1871977025
361,-656245.6256577836
362,-654933.8305183369
363,-633597.0962032239
