,episode_rewards,weekly_moving_rewards,monthly_moving_rewards
484,-549718.2510879588,-592737.8258032555,-618150.4299867995
485,-709290.1504318486,-594495.3499967359,-623888.4650538568
486,-721448.5340017166,-590151.0734250512,-630485.679130171
487,-733887.3589941446,-621715.646330386,-636471.8737631418
488,-750940.9021701715,-675286.2584615322,-646849.2624162843
489,-769853.27014643,-712302.0650221211,-655037.0139772802
490,-736420.6176656624,-710222.7263568462,-658975.9796100375
491,-879773.5164794951,-757373.4785556371,-672491.061265923
492,-470587.8755535181,-723273.1535730184,-663533.0073897383
493,-662943.0061223925,-714915.2210188293,-666933.4271723317
494,-528913.2365334181,-685633.2035244397,-663515.0764656698
495,-743590.7480760718,-684583.1815109969,-671229.0720174408
496,-675858.300966848,-671155.3287710566,-673559.7396313271
497,-740808.4291814106,-671782.1589875921,-674633.3836699262
498,-553984.0817189186,-625240.8111646527,-667184.5760512804
499,-692737.1412789167,-656976.4205539953,-673469.9245915473
