,episode_rewards,weekly_moving_rewards,monthly_moving_rewards
212,-436767.1760934047,-567340.5503659423,-622598.5065709945
213,-618570.5261858305,-568547.2568182495,-624219.3513629332
214,-581911.2940480241,-563105.3466777579,-624803.7155630131
215,-597212.6285582026,-561087.5266959962,-621735.0838921651
216,-2046413.1905957798,-752066.3121498494,-673055.0614064452
217,-1036377.2807586016,-827604.4693774452,-687847.8595163473
218,-667498.3952503696,-854964.3559271727,-688203.2356376405
219,-2407359.7762281983,-1136477.5845178573,-749191.5697350024
220,-1121995.207333608,-1208395.3961103968,-766840.7714973188
221,-758965.5116932055,-1233688.8557739942,-774840.95767712
222,-658456.8247333666,-1242438.0266561604,-770721.7426922522
223,-647690.6107147642,-1042620.5152445866,-771368.2569632572
224,-823152.432617541,-1012159.8226530066,-776202.9202697476
225,-610786.6069447941,-1004058.1386093529,-774509.9078426217
226,-602035.9100133542,-746154.7291500896,-772470.2669482804
227,-694695.0045370768,-685111.8430362993,-773397.6844724548
228,-577526.9754553331,-659192.0521451747,-767956.0198985005
229,-548381.1690808288,-643466.9584805265,-762505.577725134
230,-578227.0148179237,-633543.5876381205,-758624.1269834695
231,-616061.5847601257,-603959.1808013469,-757696.6681792883
232,-595785.8235244493,-601816.2117412976,-758363.2837693944
233,-535851.5981598244,-592361.3100479363,-755455.3443068571
234,-600614.6381035337,-578921.2577002872,-749005.068977801
235,-547655.7333862607,-574653.9374047054,-748153.6530020866
236,-589804.6863028029,-580571.5827221303,-747476.356511524
237,-523668.471794701,-572777.5051473841,-744265.1500702985
238,-641011.5620900624,-576341.7876230894,-745254.2898589493
239,-620156.0396068809,-579823.2470634367,-742274.1014318852
240,-544011.1063926129,-580988.8910966922,-743487.4656394579
241,-474819.5613103937,-563018.1658405293,-743448.8113697284
242,-527642.1880517976,-560159.087935606,-746477.9784350082
243,-519570.16424130625,-550125.5847839636,-743177.9663701908
244,-543250.6048667465,-552923.0323656844,-741889.276730815
245,-519274.59151785186,-535532.0365696542,-739291.3421628032
246,-427398.3948289707,-507995.23017280997,-685324.1823039096
247,-439570.8935906331,-493075.19977252715,-665430.6360649773
248,-614350.5394889686,-513008.1966551807,-663659.0408729307
249,-535910.3460593394,-514189.36208482954,-601277.3932006354
250,-487647.95144493924,-509629.04597106285,-580132.4846710131
251,-579135.7221690591,-514755.49129996466,-574138.1583535415
252,-527946.1934148258,-515994.291570961,-569787.8039762569
253,-502764.8737635154,-526760.9314187531,-564956.946077882
254,-537636.0587593396,-540770.2407285682,-555439.733615942
255,-511284.0830379553,-526046.4612355663,-552122.9828190473
256,-506173.12910038955,-521798.28738428786,-548927.5567886151
257,-490243.6063917389,-522169.0952338307,-542112.5101837704
258,-426487.5144125051,-500362.2084114658,-537077.8614823428
259,-517887.8038466909,-498925.29561601795,-536061.4159745382
260,-470988.74546715984,-494385.8487165385,-532486.8069961794
261,-530573.6760312603,-493376.93689824146,-529637.2100385505
262,-517855.4563587941,-494315.7045155042,-527039.5311330288
263,-571988.5542849797,-503717.9081133028,-528244.0963372006
264,-515048.16094321915,-507261.4159063714,-525391.8804318568
265,-459194.6397867178,-511933.86238840176,-522443.1773118721
266,-585239.3758487472,-521555.51553155266,-522291.0002967369
267,-618815.4267024699,-542673.6128508827,-525462.5654603292
268,-637311.1703497947,-557921.8263249589,-525339.219068987
269,-589245.7751433547,-568120.4432941818,-524308.8769202029
270,-577614.2942417926,-568924.1204308694,-525428.9831818421
271,-578628.0608187173,-578006.9632702263,-528889.2664987863
272,-562025.443817829,-592697.0781318137,-530035.3750243207
273,-634102.3911457036,-599677.5088885218,-533853.1159211339
274,-645495.1183551052,-603488.8934103269,-537261.2663707458
275,-541502.05887498,-589801.8774853534,-538002.1819493168
276,-489294.16808548477,-575523.0764770863,-540065.3743912005
277,-556250.9431785486,-572471.1691823371,-543954.7093774644
278,-484356.0325617343,-559003.7365741967,-539621.5591465565
279,-646619.2588541048,-571088.5672936647,-543311.8562397154
280,-550579.8235503017,-559156.771922893,-545409.5853098942
281,-473694.83501343656,-534613.8743026546,-541894.8890713735
282,-501940.0907757354,-528962.1645741911,-541028.0189834038
283,-474303.98916373285,-526820.7104425122,-540079.3228300777
284,-535442.3860975202,-523848.05943093676,-540006.200408017
285,-447224.1934537938,-518543.51098694524,-537870.8707552117
286,-538068.088481147,-503036.20093366556,-538934.0360679036
287,-563547.3399776731,-504888.70328043296,-541377.4938541014
288,-586754.0211361847,-521040.0155836827,-546719.7107448906
289,-624268.0578440094,-538515.439450579,-550265.719211468
290,-546134.5005365745,-548776.9410752706,-552770.5777137819
291,-639213.412791201,-563601.3734600821,-556391.9022724465
292,-575468.2543522574,-581921.953588434,-558312.3288722286
293,-611611.2587278286,-592428.1207665314,-559633.0856869904
294,-588380.5751010037,-595975.7257841501,-562077.4994922499
295,-593222.3938392256,-596899.7790274416,-566545.0912940002
296,-537478.6766321013,-584501.295997169,-564953.0679867787
297,-538462.6029824232,-583405.3106322902,-562274.6405294439
298,-625434.8749642463,-581436.9480855825,-561878.7640165922
299,-700708.0380953636,-599328.345763169,-565594.172781659
300,-613342.5366025501,-599575.6711738434,-566785.1141936842
301,-732624.3124189224,-620181.9193621175,-571918.3225803578
302,-538544.3924764046,-612370.7763102861,-571135.620868977
303,-613505.2162652666,-623231.7105435954,-570449.0483729624
304,-582844.590326845,-629571.9944499413,-568360.6974386871
305,-463985.80375593796,-606507.841420183,-565776.8222680524
306,-566199.6508778728,-587292.35753197,-568340.3383611321
307,-500137.03709377337,-571120.1433164304,-566469.8748249728
308,-763090.4073233347,-575472.4425884893,-575761.0206503595
309,-611088.249357572,-585835.8507143704,-574576.6536671418
310,-556758.0601607718,-577729.114128014,-574782.5948874907
311,-605823.2175033301,-581011.7751532261,-579186.8743038204
312,-743199.6274482217,-620899.4642521237,-587228.8588595701
313,-662311.0133179054,-634629.6588864141,-593495.7596647091
314,-733802.0022086928,-668010.3681885455,-600107.7468684148
315,-813060.6392381574,-675148.9727478059,-612302.2950612269
316,-601226.6688061393,-673740.1755261727,-614407.58107206
317,-636052.4106156345,-685067.9398768673,-616824.416759992
318,-580785.2391582509,-681491.0858275704,-616625.4573607276
319,-1140747.436174386,-738283.6299313082,-633841.4366384068
320,-1007476.4150150956,-787592.9730309069,-649219.5004543574
321,-1001710.8332678886,-825865.6631822205,-661302.7478035804
322,-850458.0256046923,-831208.1469488684,-670469.0735119949
323,-989799.7538676012,-886718.5876719344,-683075.3566833206
324,-1227648.5372912039,-971232.3200541586,-704384.2887563272
325,-773883.507019184,-998817.7868914346,-710406.3258623258
326,-709097.2128519671,-937153.4692739461,-716126.9437363214
327,-560158.5102492279,-873250.9114502508,-716850.1406452148
328,-1000279.094856492,-873046.3773914798,-729344.9479749564
329,-901424.7789950238,-880327.3421615271,-736035.506004945
330,-582031.7344097962,-822074.7679532693,-734991.8125985201
331,-859442.5801055416,-769473.9169267461,-739219.0881880741
332,-856569.4531514642,-781286.1949456434,-749819.9235439093
333,-585586.786410281,-763641.8483111168,-748889.3092154098
334,-1051645.411340453,-833854.2627527203,-764516.0032491967
335,-643686.0281059302,-782912.3960740686,-770506.0107275298
336,-635207.7863448223,-744881.3971240398,-772806.2819097614
337,-609614.486316096,-748821.7902535113,-776455.5302171721
338,-848567.5220673524,-747268.2105337699,-779304.767375306
339,-867470.7749303624,-748825.5422164697,-787850.8515610656
340,-684225.4790553483,-762916.7840229078,-792099.7655242182
341,-656901.0500793295,-706524.732414176,-793802.3599434182
342,-745187.6620483288,-721024.9658345187,-793868.6277634219
343,-873721.4421296043,-755098.3452323446,-800915.6420571451
344,-1120151.8793250136,-828032.2585193329,-813793.9712943559
345,-555562.1868672773,-786174.3534907507,-805210.68954866
346,-543154.5314712321,-739843.4615680177,-803274.9516374965
347,-507370.2903136203,-714578.4346049138,-798985.5476274292
348,-880083.1872286364,-746461.5970548148,-808962.1458964421
349,-906630.1098560075,-769524.8038844832,-801158.2350191628
350,-659455.7505680223,-738915.4193756857,-789557.5462042603
351,-594632.5986270194,-663841.2364188294,-775988.2717162314
352,-613649.1799545359,-672139.3782884378,-768094.6435278929
353,-608441.4299086736,-681466.0780652153,-755382.6993959286
354,-867772.3464098333,-732952.0860789599,-743386.8263665497
355,-641117.9930712621,-698814.2011993349,-738961.3092349523
356,-602595.71889846,-655380.7167768282,-735411.259436502
357,-825827.3740595317,-679148.0915613296,-744266.8882301789
358,-661132.0666624598,-688648.0155663925,-732961.9872903778
359,-652871.610705676,-694251.2199594124,-724676.881680733
360,-801184.8526467219,-721785.9946362764,-731981.9856219639
361,-535908.4906104524,-674376.872379222,-721197.5159721276
362,-685611.6622660594,-680733.1108356217,-715498.9229426141
363,-611876.167371974,-682058.8891889808,-716375.2356413372
364,-638327.1627780795,-655273.144720202,-702597.9606892581
365,-504808.350788272,-632941.1853096037,-697968.7047786695
366,-590219.4653213555,-623990.8788261294,-696469.0940778872
367,-805161.454122362,-624558.9647512209,-702987.326338096
368,-657211.1595501784,-641887.917456896,-696608.780920857
369,-901067.6406120926,-672667.3429349008,-697728.6764435812
370,-654403.6163540361,-678742.692789481,-696734.6143535376
371,-701042.9387666547,-687702.0893592775,-698206.010643115
372,-704503.0284485018,-716229.900453596,-696849.8561897875
373,-809002.0158495334,-747484.55052905,-694692.5419804518
374,-784187.2883211185,-744488.2411288724,-683493.722280322
375,-813992.1320827962,-766885.5229192463,-692108.053787506
376,-530257.309264945,-713912.6184410824,-691678.1463806297
377,-773706.115999433,-730955.8326761391,-700556.0072368236
378,-466859.12244583806,-697501.0017731653,-686781.8717440636
379,-693658.9642512614,-695951.849744988,-679682.8335572388
380,-831690.9449995335,-699193.1253378453,-685424.006704956
381,-630915.0957404332,-677297.0978263187,-686633.4232754031
382,-526889.6932866263,-636282.4637125803,-683741.4403864727
383,-431514.2282063081,-622176.3092756321,-677843.8669963939
384,-1002579.0882640879,-654872.4481705829,-682337.4250582024
385,-823252.5575823074,-705785.7960472213,-688408.5772085706
386,-605352.2271400848,-693170.5478884819,-688500.4608166247
387,-562126.4244172086,-654661.3306624355,-679710.4291618805
388,-585650.1602493597,-648194.9113065678,-677194.3656147772
389,-691493.4962736893,-671709.7403047197,-678481.7618003775
390,-522484.52315488405,-684705.4967259448,-669191.7508173162
391,-758696.2182799703,-649865.0867282137,-676618.0084063001
392,-510793.9512665359,-605228.1429688177,-670790.7513729825
393,-465077.3481570031,-585188.8745426632,-665897.4573991502
394,-506655.0876229115,-577264.3978577637,-661508.3882273113
395,-481462.75301004405,-562380.4825378613,-660730.2016347037
396,-582301.9621483211,-546781.691948523,-660466.2848622692
397,-731763.3037397276,-576678.6606035007,-658019.6798495147
398,-833028.3985652438,-587297.5435013969,-663880.2544833502
399,-659343.5458338439,-608518.9141538695,-655822.7846574087
400,-607090.8292346993,-628806.5543078261,-654245.6917534308
401,-508418.2700320948,-629058.437509138,-647824.8694622789
402,-962343.1530964328,-697755.6375214793,-656419.5402838766
403,-913304.4290353922,-745041.7042196324,-659896.2873900718
404,-725700.4115094815,-744175.5767581686,-657946.7248296838
405,-568865.5902049146,-706438.032706693,-649775.840100421
406,-619435.8606225217,-700736.9348193613,-652748.4584790069
407,-620776.7071072033,-702692.0602297189,-647650.8115159326
408,-660218.1865894111,-724377.7625950499,-654096.1136540517
409,-567502.6587151475,-667971.9776834378,-649890.9034695146
410,-551841.2242868096,-616334.3770050687,-640562.5794457571
411,-698311.7074171009,-612421.7049918715,-642809.1331683126
412,-608708.4854641787,-618113.5471717665,-645536.4262408976
413,-491342.21946799057,-599814.455578262,-647530.6926162872
